id,colonia
242,Jardines De Coyoacan
243,El Rosedal
244,Alianza Popular Revolucionaria
245,San Bartolo El Chico
246,General Ignacio Zaragoza
247,Santa Maria La Ribera
248,Escuadron 201
249,Solidaridad Nacional
250,Pueblo Santa Cruz Acalpixca
251,Barrio San Antonio Culhuacan
252,Salvador Diaz Miron
253,Del Carmen
254,Ajusco
255,Barrio Coltongo
256,Coltongo
257,Los Olivos
258,El Molino Tezonco
259,Esperanza
260,Santa Fe Centro Ciudad
261,Barrio San Lorenzo
262,Barrio Santa Apolonia
263,Barrio Santiago Centro Del Pueblo Santiago Zapotitlan
264,Barrio Nextengo
265,Algarin
266,Central De Abasto
267,Churubusco Tepeyac
268,Villa Coapa
269,Buenos Aires
270,Lomas De Vista Hermosa
271,Moctezuma 2a. Seccion
272,Pueblo Santa Ursula Xitla
273,Panamericana
274,El Retoño
275,San Gabriel
276,Pueblo Santa Fe
277,Hipodromo Condesa
278,Condesa
279,San Nicolas Tolentino
280,Roma Sur
281,Periodista
282,Del Valle Norte
283,Atlampa
284,Paseos De Churubusco
285,Miguel De La Madrid Hurtado
286,Un Hogar Para Nosotros
287,Nueva Tenochtitlan
288,Flor De Maria
289,Industrial Puerto Aereo
290,Obrero Popular
291,Educacion
292,Lomas Del Pedregal
293,Los Angeles
294,Ampliacion Granada
295,Ciudad Jardin
296,El Yaqui
297,La Pradera
298,Peñon De Los Baños
299,Molino De Rosas
300,San Juan De Aragon
301,Presidentes De Mexico
302,Piedad Narvarte
303,Pueblo San Juan De Aragon
304,Santa Anita
305,Torres De Potrero
306,Barrio Guadalupe
307,Olivar De Los Padres
308,San Juan Tepepan
309,Barrio Cruztitla
310,Siete Maravillas
311,Palmitas
312,Residencial Miramontes
313,Romero De Terreros
314,San Bartolo Atepehuacan
315,Tabacalera
316,Campamento 2 De Octubre
317,Infonavit Iztacalco
318,Portales Sur
319,Belisario Dominguez Seccion Xvi
320,Pueblo San Luis Tlaxialtemalco
321,Barrio La Guadalupita
322,La Planta
323,Insurgentes San Borja
324,Barrio San Andres
325,Jardines Del Ajusco
326,10 De Abril
327,Mirador Ii
328,Vista Alegre
329,Ampliacion Piloto Adolfo Lopez Mateos
330,San Antonio Culhuacan
331,Unidad Ejercito Constitucionalista
332,Castillo Chico
333,Del Mar
334,Vasco De Quiroga
335,Hipodromo
336,Estrella
337,Del Parque
338,La Estacion
339,Guadalupe Del Moral
340,Consejo Agrarista Mexicano
341,Cuajimalpa
342,Los Manzanos
343,Pueblo Tetelpan
344,Lomas Quebradas
345,Pueblo La Candelaria
346,Culhuacan Ctm Seccion Viii
347,Del Valle Centro
348,Fuentes Del Pedregal
349,El Vergel
350,Pueblo Culhuacan
351,Acacias
352,Barrio Santa Barbara
353,Santa Cruz Atoyac
354,Olivar Del Conde 1ra Seccion
355,Guadalupe Victoria Cuautepec
356,Granjas Coapa
357,Gertrudis Sanchez 3a Seccion
358,Pro Hogar
359,Reforma Pensil
360,A M S A
361,Guadalupe
362,La Habana
363,Pueblo Santa Maria Tepepan
364,San Rafael
365,Pueblo De Los Reyes
366,Pueblo Tulyehualco
367,Artes Graficas
368,Granjas De San Antonio
369,Lomas De La Era
370,Culhuacan Ctm Canal Nacional
371,Villa Tlalpan
372,Carmen Serdan
373,Atlamaya
374,Nueva Atzacoalco
375,Pueblo Los Reyes Culhuacan
376,Progreso Del Sur
377,Ex Hacienda Coapa
378,Pueblo San Bartolo Ameyalco
379,Tarango
380,Lomas De Guadalupe
381,Tacuba
382,Nonoalco Tlatelolco
383,Copilco Universidad
384,Cuauhtemoc
385,4 Arboles
386,Zacahuitzco
387,Barrio Santa Ana Centro
388,Guadalupe Insurgentes
389,Adolfo Lopez Mateos
390,Jardines Del Pedregal De San Angel
391,Mixcoac
392,Valle Gomez
393,Granjas Mexico
394,Cooperativa Palo Alto
395,Lindavista Sur
396,El Centinela
397,Llano Redondo
398,Santa Maria Nonoalco
399,15 De Agosto
400,Constitucion De La Republica
401,Las Aguilas
402,Granjas Modernas
403,Arenal 2a. Seccion
404,Tres Estrellas
405,C T M Atzacoalco
406,Purisima Atlazolpa
407,Pueblo Magdalena Atlazolpa
408,Alamos
409,Gabriel Ramos Millan Seccion Bramadero
410,El Triunfo
411,Cultura Maya
412,Culhuacan Ctm Croc
413,Barrio San Juan
414,Acueducto De Guadalupe
415,Polanco Ii Seccion
416,San Jose Ticoman
417,Garcimarrero
418,Barrio Candelaria Ticoman
419,Ampliacion Casas Aleman
420,Santa Maria Ticoman
421,El Olivo
422,Aeronautica Militar
423,Observatorio
424,Jamaica
425,Ampliacion Torre Blanca
426,El Jaguey
427,Leyes De Reforma 1a Seccion
428,Guadalupe Proletaria
429,Polanco I Seccion
430,La Joya
431,Nueva El Rosario
432,Pueblo San Miguel Topilejo
433,San Simon Ticumac
434,Pueblo San Juan Tlihuaca
435,Insurgentes
436,Potrero Del Llano
437,Zona Centro
438,Mexico Nuevo
439,Lomas De Chapultepec V Seccion
440,Iztaccihuatl
441,Nueva Industrial Vallejo
442,Barrio Guadalupe Ticoman
443,Barrio Santiago Sur
444,Colinas De Tarango
445,Ampliacion Santa Maria Aztahuacan
